"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"P";"PACKAGE";"PROD_ID";"RATING";"SUPPLIER";"TOL";"V";"VALUE";
"4";"";"CPOL-USD";"PANASONIC_D";"C17, C18, C19, C20";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"ESWITCH_320";"ESWITCH320";"SW100, SW101, SW102, SW103";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"FERRITE";"0603";"FB1, FB2, FB3, FB4";"Ferrite Bead";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LED5MM";"LED5MM";"LED100, LED101";"LEDs";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M02POLAR";"MOLEX-1X2";"J1";"Header 2";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X8SHROUD";"2X08_SHROUD";"J7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"5";"0.1uF";"CAP0603";"0603-CAP";"C3, C8, C11, C14, C15";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"CAP0603";"0603-CAP";"C7";"Capacitor";"";"";"";"";"";"";"X7R";"";"10%";"16V";"";
"5";"0R";"RESISTOR0603";"0603-RES";"R16, R52, R54, R56, R58";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.0uF";"CAP0603";"0603-CAP";"C10";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.8TFT_CHI2.0";"1.8TFT_CHI2.0";"1.8TFT_CHI_2.0";"LCD100";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100K";"RESISTOR0603";"0603-RES";"R10, R11";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"9";"100R";"RESISTOR0603";"0603-RES";"R24, R37, R40, R41, R42, R43, R44, R45, R46";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"20";"10K";"RESISTOR0603";"0603-RES";"R6, R8, R12, R15, R18, R20, R22, R23, R25, R26, R27, R28, R31, R32, R33, R34, R35, R36, R38, R39";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"1";"10R";"RESISTOR1206";"1206-RES";"R14";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF";"CAP0805";"0805-CAP";"C6, C12, C13, C16";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"7";"1K";"RESISTOR0603";"0603-RES";"R1, R3, R5, R7, R13, R17, R21";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"CAP0603";"0603-CAP";"C9";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"2";"220pF";"CAP0603";"0603-CAP";"C1, C4";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"1";"270R";"RESISTOR0603";"0603-RES";"R4";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"2";"2K";"RESISTOR0603";"0603-RES";"R2, R19";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
